"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 12:56:46 IST 2024","Tue Jan 09 12:57:43 IST 2024","57674","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","create_new_part","Test_003 Enter part number and create new part","Test Description:  Enter part number and create new part"
"passed","Tue Jan 09 12:55:41 IST 2024","Tue Jan 09 12:56:09 IST 2024","28591","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","gotoPartsMaster","Test_001 Login to the page and Go To Parts Master","Test Description:  Login to the page and Go To Parts Master"
"passed","Tue Jan 09 12:58:35 IST 2024","Tue Jan 09 12:59:10 IST 2024","35647","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","signOut_verify_username","T_006 click on Sign out","Test Description:  Sign out and verify username"
"passed","Tue Jan 09 12:58:23 IST 2024","Tue Jan 09 12:58:35 IST 2024","11386","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","verify_standard_field","T_005 Verify the Description and click Cost and Pricing Tab","Test Description : Verify Standard field value"
"passed","Tue Jan 09 12:57:43 IST 2024","Tue Jan 09 12:58:23 IST 2024","40014","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","search_the_number","Test_004 Search Part number ","Test Description:  Search Part number"
"passed","Tue Jan 09 12:56:09 IST 2024","Tue Jan 09 12:56:46 IST 2024","36221","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","click_NewPart_Verify_All_Elements","Test_002 click on NewParts and verify all element","Test Description:  Click on NewParts and Verify all element"
