"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 10:34:45 IST 2024","Wed Jan 10 10:35:14 IST 2024","28146","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_001_gotoReportScreen","Login",""
"passed","Wed Jan 10 10:38:44 IST 2024","Wed Jan 10 10:40:46 IST 2024","122528","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_004_NonRepairBillButtonWithoutCustomerPO","NonRepairBillButtonWithoutCustomerPO",""
"failed","Wed Jan 10 10:36:19 IST 2024","Wed Jan 10 10:38:44 IST 2024","144361","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_003_AddNewCounterSaleButtonWithCustomerPO","AddNewCounterSaleButtonWithCustomerPO",""
"passed","Wed Jan 10 10:35:14 IST 2024","Wed Jan 10 10:36:19 IST 2024","65503","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_002_AddNewCounterSaleButtonWithoutCustomerPO","AddNewCounterSaleButtonWithoutCustomerPO",""
"passed","Wed Jan 10 10:40:46 IST 2024","Wed Jan 10 10:40:46 IST 2024","0","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_005_NonRepairBillButtonWithCustomerPO","NonRepairBillButtonWithCustomerPO",""
