"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 09 17:58:10 IST 2024","Tue Jan 09 17:58:10 IST 2024","0","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","initialization","initialization",""
"broken","Tue Jan 09 17:58:10 IST 2024","Tue Jan 09 17:58:10 IST 2024","0","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"failed","Tue Jan 09 18:16:19 IST 2024","Tue Jan 09 18:18:44 IST 2024","144750","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_003_AddNewCounterSaleButtonWithCustomerPO","AddNewCounterSaleButtonWithCustomerPO",""
"passed","Tue Jan 09 18:14:47 IST 2024","Tue Jan 09 18:15:13 IST 2024","26396","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_001_gotoReportScreen","Login",""
"passed","Tue Jan 09 18:15:13 IST 2024","Tue Jan 09 18:16:19 IST 2024","65606","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_002_AddNewCounterSaleButtonWithoutCustomerPO","AddNewCounterSaleButtonWithoutCustomerPO",""
"broken","Tue Jan 09 18:20:03 IST 2024","Tue Jan 09 18:21:47 IST 2024","104482","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_005_NonRepairBillButtonWithCustomerPO","NonRepairBillButtonWithCustomerPO",""
"passed","Tue Jan 09 18:18:44 IST 2024","Tue Jan 09 18:20:03 IST 2024","78961","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_004_NonRepairBillButtonWithoutCustomerPO","NonRepairBillButtonWithoutCustomerPO",""
"skipped","Tue Jan 09 17:58:10 IST 2024","Tue Jan 09 17:58:10 IST 2024","1","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_003_AddNewCounterSaleButtonWithoutCustomerPO","Login",""
