"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 09 12:36:41 IST 2024","Tue Jan 09 12:39:24 IST 2024","163326","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","verify_standard_field","T_005 Verify the Description and click Cost and Pricing Tab","Test Description : Verify Standard field value"
"broken","Tue Jan 09 12:36:24 IST 2024","Tue Jan 09 12:36:41 IST 2024","16542","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","search_the_number","Test_004 Search Part number ","Test Description:  Search Part number"
"passed","Tue Jan 09 12:34:47 IST 2024","Tue Jan 09 12:35:12 IST 2024","24822","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","gotoPartsMaster","Test_001 Login to the page and Go To Parts Master","Test Description:  Login to the page and Go To Parts Master"
"broken","Tue Jan 09 12:35:48 IST 2024","Tue Jan 09 12:36:24 IST 2024","36059","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","create_new_part","Test_003 Enter part number and create new part","Test Description:  Enter part number and create new part"
"broken","Tue Jan 09 12:39:24 IST 2024","Tue Jan 09 12:42:08 IST 2024","163882","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","signOut_verify_username","T_006 click on Sign out","Test Description:  Sign out and verify username"
"passed","Tue Jan 09 12:35:12 IST 2024","Tue Jan 09 12:35:48 IST 2024","36019","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","click_NewPart_Verify_All_Elements","Test_002 click on NewParts and verify all element","Test Description:  Click on NewParts and Verify all element"
