"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 18:26:26 IST 2024","Tue Jan 09 18:26:53 IST 2024","27176","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_001_gotoReportScreen","Login",""
"passed","Tue Jan 09 18:33:26 IST 2024","Tue Jan 09 18:33:26 IST 2024","0","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_005_NonRepairBillButtonWithCustomerPO","NonRepairBillButtonWithCustomerPO",""
"broken","Tue Jan 09 18:30:23 IST 2024","Tue Jan 09 18:33:26 IST 2024","183173","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_004_NonRepairBillButtonWithoutCustomerPO","NonRepairBillButtonWithoutCustomerPO",""
"failed","Tue Jan 09 18:27:58 IST 2024","Tue Jan 09 18:30:23 IST 2024","144523","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_003_AddNewCounterSaleButtonWithCustomerPO","AddNewCounterSaleButtonWithCustomerPO",""
"passed","Tue Jan 09 18:26:53 IST 2024","Tue Jan 09 18:27:58 IST 2024","65307","Default Suite","Emdecs_Test_Automation","tests.SP_Nov_Dec2023.I1464Test","tests.SP_Nov_Dec2023.I1464Test","Test_002_AddNewCounterSaleButtonWithoutCustomerPO","AddNewCounterSaleButtonWithoutCustomerPO",""
