"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 16:15:10 IST 2023","Fri Dec 22 16:15:39 IST 2023","29257","Default Suite","Emdecs_Test_Automation","tests.ReportsTest","tests.ReportsTest","Test_002_clickOnReports","Click on Reports Categories and Available Reports",""
"passed","Fri Dec 22 16:14:09 IST 2023","Fri Dec 22 16:15:09 IST 2023","59876","Default Suite","Emdecs_Test_Automation","tests.ReportsTest","tests.ReportsTest","Test_001_gotoReportScreen","Login the page and go to Reports page",""
"passed","Fri Dec 22 16:15:40 IST 2023","Fri Dec 22 16:17:22 IST 2023","101900","Default Suite","Emdecs_Test_Automation","tests.ReportsTest","tests.ReportsTest","Test_003_subtractMonthsFromCurrentDate","Enter Date for Generate Reports",""
